Position,Collisions 
6.42,4.44919
6.44,4.44919
6.46,4.44919
6.48,4.44919
6.5,5.94351
6.52,8.38932
6.54,9.88428
6.56,9.88428
6.58,9.88428
6.6,9.88428
6.62,9.88428
6.64,9.88428
6.66,10.9526
6.68,10.9526
6.7,10.9526
6.72,10.9526
6.74,12.0076
6.76,12.0076
6.78,12.0076
6.8,12.0076
6.82,12.0076
6.84,12.0076
6.86,12.0076
6.88,12.0076
6.9,12.0076
6.92,12.0076
6.94,12.0076
6.96,12.0076
6.98,12.0076
7,12.0076
7.02,13.0237
7.04,15.5218
7.06,15.5218
7.08,15.5218
7.1,15.5218
7.12,16.6209
7.14,16.6209
7.16,16.6209
7.18,19.2078
7.2,19.2078
7.22,19.2078
7.24,19.2078
7.26,20.2555
7.28,21.4928
7.3,22.8436
7.32,26.8664
7.34,30.0013
7.36,30.0013
7.38,31.0274
7.4,32.0967
7.42,33.1025
7.44,34.1041
7.46,35.3726
7.48,40.1181
7.5,43.0249
7.52,49.2611
7.54,50.5311
7.56,50.5311
7.58,54.385
7.6,54.385
7.62,54.385
7.64,59.1209
7.66,62.5706
7.68,67.4034
7.7,71.5976
7.72,78.2174
7.74,82.6579
7.76,85.6901
7.78,85.6901
7.8,86.7468
7.82,92.9358
7.84,96.3767
7.86,96.3767
7.88,98.9588
7.9,115.126
7.92,121.485
7.94,133.586
7.96,150.154
7.98,5.77702
8,177.949
8.02,193.303
8.04,212.696
8.06,229.907
8.08,206.283
8.1,196.986
8.12,204.572
8.14,201.562
8.16,201.72
8.18,215.487
8.2,194.685
8.22,190.9
8.24,208.743
8.26,223.743
8.28,205.646
8.3,190.866
8.32,212.323
8.34,211.939
8.36,210.134
8.38,194.16
8.4,196.143
8.42,214.742
8.44,202.767
8.46,217.921
8.48,201.919
8.5,231.127
8.52,206.971
8.54,203.513
8.56,168.083
8.58,226.62
8.6,181.852
8.62,198.964
8.64,198.756
8.66,227.799
8.68,225.483
8.7,199.423
8.72,221.085
8.74,198.737
8.76,189.935
8.78,225.764
8.8,214.134
8.82,217.304
8.84,193.62
8.86,180.572
8.88,189.287
8.9,182.122
8.92,195.244
8.94,184.717
8.96,234.265
8.98,230.475
9,201.435
9.02,223.737
9.04,237.417
9.06,206.846
9.08,195.77
9.1,175.485
9.12,240.758
9.14,209.101
9.16,202.279
9.18,193.713
9.2,221.535
9.22,165.125
9.24,192.699
9.26,201.457
9.28,202.462
9.3,213.87
9.32,172.813
9.34,200.609
9.36,187.428
9.38,243.788
9.4,196.5
9.42,216.889
9.44,186.34
9.46,238.842
9.48,210.803
9.5,215.068
9.52,204.117
9.54,217.466
9.56,190.198
9.58,197.863
9.6,193.68
9.62,197.061
9.64,205.219
9.66,236.667
9.68,182.62
9.7,208.945
9.72,190.249
9.74,193.464
9.76,212.546
9.78,209.504
9.8,217.69
9.82,170.775
9.84,230.932
9.86,209.137
9.88,207.621
9.9,203.303
9.92,197.46
9.94,223.556
9.96,172.346
9.98,184.959
10,213.149
10.02,212.727
10.04,203.562
10.06,222.019
10.08,211.611
10.1,210.231
10.12,201.233
10.14,196.191
10.16,200.392
10.18,232.984
10.2,194.693
10.22,190.357
10.24,205.07
10.26,204.872
10.28,194.977
10.3,216.767
10.32,176.01
10.34,163.46
10.36,220.256
10.38,153.774
10.4,198.777
10.42,197.377
10.44,201.117
10.46,187.069
10.48,209.938
10.5,196.223
10.52,185.62
10.54,213.304
10.56,184.465
10.58,221.198
10.6,201.948
10.62,180.381
10.64,196.684
10.66,211.129
10.68,207.043
10.7,220.035
10.72,182.872
10.74,179.605
10.76,228.049
10.78,200.675
10.8,223.076
10.82,240.139
10.84,225.364
10.86,210.516
10.88,200.05
10.9,231.587
10.92,216.113
10.94,193.233
10.96,175.051
10.98,220.344
11,193.757
11.02,203.942
11.04,231.483
11.06,226.731
11.08,207.369
11.1,194.334
11.12,209.817
11.14,230.96
11.16,239.51
11.18,198.96
11.2,186.552
11.22,207.155
11.24,212.638
11.26,240.195
11.28,217.106
11.3,214.343
11.32,219.134
11.34,236.005
11.36,217.429
11.38,182.151
11.4,221.402
11.42,196.789
11.44,209.52
11.46,199.709
11.48,180.998
11.5,220.845
11.52,230.243
11.54,202.266
11.56,208.783
11.58,185.956
11.6,212.314
11.62,191.624
11.64,211.412
11.66,201.977
11.68,196.828
11.7,207.294
11.72,195.164
11.74,208.186
11.76,234.523
11.78,188.022
11.8,230.863
11.82,218.614
11.84,196.962
11.86,179.272
11.88,219.65
11.9,196.617
11.92,211.245
11.94,211.933
11.96,193.01
11.98,203.404
12,209.687
12.02,178.857
12.04,211.542
12.06,221.371
12.08,174.928
12.1,209.602
12.12,237.855
12.14,177.027
12.16,219.9
12.18,203.978
12.2,201.849
12.22,212.423
12.24,187.768
12.26,204.084
12.28,182.447
12.3,209.514
12.32,205.38
12.34,182.773
12.36,162.211
12.38,184.709
12.4,219.549
12.42,215.018
12.44,217.553
12.46,206.319
12.48,200.547
12.5,201.481
12.52,200.848
12.54,207.029
12.56,182.878
12.58,207.253
12.6,217.357
12.62,198.428
12.64,198.055
12.66,213.219
12.68,201.363
12.7,193.933
12.72,192.13
12.74,226.257
12.76,197.528
12.78,201.308
12.8,196.716
12.82,227.064
12.84,203.772
12.86,186.603
12.88,192.043
12.9,205.493
12.92,209.803
12.94,193.046
12.96,199.452
12.98,254.659
13,332.211
13.02,491.881
13.04,491.881
13.06,491.881
13.08,491.881
13.1,491.881
13.12,491.881
13.14,491.881
13.16,491.881
13.18,491.881
13.2,491.881
13.22,491.881
13.24,491.881
13.26,491.881
13.28,491.881
13.3,491.881
13.32,491.881
13.34,491.881
13.36,491.881
13.38,491.881
13.4,491.881
13.42,491.881
13.44,491.881
13.46,491.881
13.48,491.881
13.5,491.881
13.52,491.881
13.54,491.881
13.56,491.881
13.58,491.881
13.6,491.881
13.62,491.881
13.64,491.881
13.66,491.881
13.68,491.881
13.7,491.881
13.72,491.881
13.74,491.881
13.76,491.881
13.78,491.881
13.8,491.881
13.82,491.881
13.84,491.881
13.86,491.881
13.88,491.881
13.9,491.881
13.92,491.881
13.94,491.881
13.96,491.881
13.98,491.881
14,491.881
14.02,491.881
14.04,491.881
14.06,491.881
14.08,491.881
14.1,491.881
14.12,491.881
14.14,491.881
14.16,491.881
14.18,491.881
14.2,491.881
14.22,491.881
14.24,491.881
14.26,491.881
14.28,491.881
14.3,491.881
14.32,491.881
14.34,491.881
14.36,491.881
14.38,491.881
14.4,491.881
14.42,491.881
14.44,491.881
14.46,491.881
14.48,491.881
14.5,491.881
14.52,491.881
14.54,491.881
14.56,491.881
14.58,491.881
14.6,491.881
14.62,491.881
14.64,491.881
14.66,491.881
14.68,491.881
14.7,491.881
14.72,491.881
14.74,491.881
14.76,491.881
14.78,491.881
14.8,491.881
14.82,491.881
14.84,491.881
14.86,491.881
14.88,491.881
14.9,491.881
14.92,491.881
14.94,491.881
14.96,491.881
14.98,491.881
15,491.881
15.02,491.881
15.04,491.881
15.06,491.881
15.08,491.881
15.1,491.881
15.12,491.881
15.14,491.881
15.16,491.881
15.18,491.881
15.2,491.881
15.22,491.881
15.24,491.881
15.26,491.881
15.28,491.881
15.3,491.881
15.32,491.881
15.34,491.881
15.36,491.881
15.38,491.881
15.4,491.881
15.42,491.881
15.44,491.881
15.46,491.881
15.48,491.881
15.5,491.881
15.52,491.881
15.54,491.881
15.56,491.881
15.58,491.881
15.6,491.881
15.62,491.881
15.64,491.881
15.66,491.881
15.68,491.881
15.7,491.881
15.72,491.881
15.74,491.881
15.76,491.881
15.78,491.881
15.8,491.881
15.82,491.881
15.84,491.881
15.86,491.881
15.88,491.881
15.9,491.881
15.92,491.881
15.94,491.881
15.96,491.881
15.98,159.67
16,314.272
16.02,459.283
16.04,460.457
16.06,484.385
16.08,470.761
16.1,496.347
16.12,480.292
16.14,511.007
16.16,494.306
16.18,567.508
16.2,529.833
16.22,514.898
16.24,534.048
16.26,524.065
16.28,524.562
16.3,504.348
16.32,531.328
16.34,552.854
16.36,583.641
16.38,566.783
16.4,577.315
16.42,586.951
16.44,572.623
16.46,591.036
16.48,562.509
16.5,574.567
16.52,552.3
16.54,566.32
16.56,586.566
16.58,567.648
16.6,552.831
16.62,535.573
16.64,530.494
16.66,534.636
16.68,519.072
16.7,520.699
16.72,513.185
16.74,535.955
16.76,538.012
16.78,533.456
16.8,537.28
16.82,531.272
16.84,562.721
16.86,540.18
16.88,550.335
16.9,525.492
16.92,556.68
16.94,550.385
16.96,539.676
16.98,504.405
17,510.471
17.02,500.791
17.04,470.624
17.06,478.74
17.08,481.447
17.1,497.524
17.12,501.745
17.14,480.073
17.16,498.828
17.18,508.451
17.2,511.248
17.22,513.644
17.24,517.572
17.26,539.19
17.28,550.481
17.3,558.455
17.32,515.867
17.34,516.563
17.36,502.54
17.38,530.568
17.4,506.437
17.42,593.262
17.44,480.076
17.46,498.834
17.48,516.603
17.5,530.417
17.52,550.951
17.54,641.002
17.56,531.86
17.58,537.679
17.6,534.888
17.62,547.118
17.64,543.877
17.66,519.275
17.68,517.529
17.7,551.488
17.72,545.913
17.74,549.376
17.76,543.426
17.78,551.726
17.8,550.86
17.82,568.97
17.84,551.482
17.86,551.504
17.88,538.793
17.9,544.942
17.92,547.089
17.94,543.479
17.96,522.251
17.98,517.392
18,503.83
18.02,525.124
18.04,533.081
18.06,523.015
18.08,533.801
18.1,644.702
18.12,512.741
18.14,520.721
18.16,539.356
18.18,493.823
18.2,550.623
18.22,566.198
18.24,517.012
18.26,519.562
18.28,494.562
18.3,527.14
18.32,486.038
18.34,470.767
18.36,493.399
18.38,496.345
18.4,512.217
18.42,482.566
18.44,469.926
18.46,478.378
18.48,483.601
18.5,491.73
18.52,499.915
18.54,483.259
18.56,478.993
18.58,490.379
18.6,469.311
18.62,450.759
18.64,445.319
18.66,444.127
18.68,428.828
18.7,408.021
18.72,401.057
18.74,408.269
18.76,403.126
18.78,384.884
18.8,366.716
18.82,336.962
18.84,325.971
18.86,346.609
18.88,328.771
18.9,325.137
18.92,330.594
18.94,314.329
18.96,308.225
18.98,295.069
19,379.194
19.02,326.191
19.04,348.545
19.06,353.255
19.08,350.478
19.1,347.328
19.12,347.611
19.14,321.82
19.16,308.721
19.18,340.498
19.2,347.969
19.22,352.008
19.24,354.635
19.26,348.221
19.28,324.185
19.3,318.049
19.32,320.722
19.34,310.592
19.36,303.967
19.38,310.58
19.4,325.277
19.42,331.276
19.44,330.732
19.46,346.892
19.48,337.239
19.5,315.325
19.52,320.26
19.54,328.006
19.56,323.301
19.58,311.671
19.6,742.459
19.62,280.579
19.64,326.868
19.66,312.239
19.68,312.503
19.7,318.028
19.72,288.607
19.74,257.209
19.76,293.151
19.78,284.539
19.8,290.049
19.82,302.752
19.84,300.876
19.86,227.34
19.88,284.026
19.9,252.075
19.92,221.758
19.94,222.906
19.96,214.901
19.98,219.971
20,0
